               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072698,            0.017507,                   0,             0.70828,             0.70749,             0.75247,              0.3015,            0.044468,           0.0095468,                   0,            0.070059,           0.0033268,           0.0033268
                   1,            0.047794,            0.012026,                   0,             0.90456,             0.86644,              0.9031,             0.47934,            0.034056,           0.0074125,                   0,            0.040037,           0.0066381,           0.0066381
                   2,            0.042335,            0.010132,                   0,             0.90839,             0.88369,              0.9062,             0.53003,            0.033012,           0.0066713,                   0,           0.0099931,           0.0099275,           0.0099275
                   3,            0.037136,           0.0091608,                   0,             0.92841,             0.88197,             0.91281,             0.58603,             0.02886,           0.0062379,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.033447,           0.0085453,                   0,             0.94116,             0.91846,              0.9198,             0.59322,             0.02771,           0.0056884,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.030613,           0.0080768,                   0,             0.94237,             0.93686,             0.93327,             0.65123,            0.024817,           0.0052125,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.029135,           0.0077811,                   0,             0.94352,              0.9262,             0.93021,             0.66867,            0.023896,           0.0051926,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.028391,           0.0076125,                   0,             0.94169,             0.93457,             0.93967,             0.68371,            0.022456,           0.0051875,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.027453,           0.0074413,                   0,             0.95694,             0.94332,             0.94494,             0.67617,            0.022146,           0.0048327,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.026561,           0.0072679,                   0,             0.95282,             0.94311,             0.94891,             0.70686,            0.021393,           0.0048302,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.026269,           0.0072547,                   0,             0.95318,             0.94147,             0.94889,              0.7118,            0.021056,           0.0047628,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.025589,           0.0071332,                   0,             0.95866,              0.9485,             0.95451,             0.71245,            0.020695,           0.0046252,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.024977,           0.0070581,                   0,              0.9611,             0.94974,              0.9571,             0.72454,            0.019905,           0.0045789,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.024901,           0.0070291,                   0,             0.96533,             0.94517,             0.95921,             0.73354,            0.019846,           0.0045779,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.024484,           0.0068434,                   0,             0.96162,             0.95096,             0.95873,             0.73234,            0.019425,            0.004485,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.024062,           0.0067212,                   0,             0.97022,             0.94751,             0.95764,             0.72869,            0.019552,           0.0044678,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.023877,           0.0067463,                   0,             0.96959,             0.95219,             0.96228,             0.73414,            0.018925,           0.0044058,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.02347,           0.0065395,                   0,              0.9688,             0.94879,             0.96239,             0.74045,            0.018811,           0.0044407,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.023393,           0.0065852,                   0,             0.96576,             0.95577,             0.96172,             0.73333,             0.01866,           0.0043415,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.023025,           0.0065597,                   0,             0.97284,             0.95256,             0.96593,              0.7468,            0.018679,           0.0042779,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.023253,           0.0065341,                   0,             0.97115,             0.95071,             0.96308,             0.74555,            0.018479,           0.0043141,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.022919,           0.0063875,                   0,             0.97222,             0.95284,             0.96659,              0.7492,            0.018272,           0.0042607,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.022853,           0.0064088,                   0,              0.9728,             0.95811,             0.97167,             0.75117,            0.018122,           0.0041652,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.022539,           0.0065225,                   0,             0.97405,             0.95675,             0.97019,             0.75861,            0.017689,           0.0041371,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.022456,           0.0065242,                   0,             0.97434,             0.95443,             0.97311,             0.75684,            0.017857,           0.0041407,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.022358,           0.0063625,                   0,             0.97244,             0.95885,             0.97207,             0.75817,            0.017797,           0.0041403,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.022262,           0.0064561,                   0,             0.97027,             0.96045,             0.97232,             0.75939,            0.017533,           0.0041218,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.021972,           0.0063236,                   0,             0.96982,              0.9618,             0.97454,              0.7676,             0.01741,           0.0040701,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.021894,           0.0062417,                   0,             0.97677,              0.9583,             0.97583,             0.76488,            0.017488,           0.0040591,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.021745,           0.0062411,                   0,             0.97166,             0.96156,             0.97555,             0.77671,            0.016865,           0.0039886,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.021842,           0.0062804,                   0,             0.96932,             0.96759,             0.97753,             0.77423,            0.016925,           0.0039843,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.021619,           0.0061799,                   0,             0.97155,             0.96784,              0.9793,              0.7821,            0.016651,           0.0039033,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.021096,           0.0060018,                   0,             0.96977,             0.96844,             0.97564,             0.77273,            0.016778,           0.0039296,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.02124,           0.0060714,                   0,             0.97297,             0.96677,             0.97772,              0.7782,            0.016627,           0.0039436,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.02132,           0.0061183,                   0,             0.97674,             0.96244,             0.97935,             0.77969,            0.016489,           0.0038649,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.02145,           0.0061526,                   0,             0.97122,             0.96353,             0.97922,             0.78654,            0.016597,           0.0039169,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.021158,           0.0060919,                   0,              0.9713,             0.96673,             0.97638,             0.77797,            0.016615,           0.0038876,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.02118,           0.0060468,                   0,             0.97418,             0.97178,             0.97739,             0.78383,            0.016257,            0.003843,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.021129,           0.0061062,                   0,             0.97539,             0.97252,             0.98193,             0.78622,            0.016161,           0.0037999,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.020745,           0.0059562,                   0,             0.97366,             0.97129,             0.98221,             0.79043,            0.016008,           0.0037869,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.020744,           0.0059897,                   0,             0.97381,             0.97339,             0.97929,             0.78917,            0.015832,           0.0037485,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.020572,           0.0058862,                   0,             0.97337,             0.97339,             0.98108,              0.7935,            0.015823,           0.0037528,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.020841,           0.0058917,                   0,             0.97079,             0.97451,              0.9828,             0.79581,             0.01565,           0.0037007,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.020468,           0.0059285,                   0,             0.97426,             0.97486,             0.98339,               0.798,            0.015614,           0.0036889,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.020324,           0.0058612,                   0,             0.97267,             0.98004,             0.98364,             0.79468,            0.015656,           0.0036545,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02034,           0.0059132,                   0,             0.97871,             0.97439,               0.985,             0.79827,            0.015553,           0.0036521,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.020302,           0.0058533,                   0,             0.97496,             0.97203,             0.98424,             0.80018,            0.015383,           0.0036549,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.020526,           0.0058857,                   0,             0.97424,             0.97856,               0.983,             0.79976,            0.015267,           0.0035942,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.020148,           0.0057386,                   0,             0.97539,             0.97733,             0.98364,             0.80393,            0.015258,           0.0036147,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.020173,           0.0058408,                   0,              0.9786,             0.97477,             0.98615,             0.80766,            0.015038,           0.0035691,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020171,           0.0057387,                   0,             0.97555,             0.97992,             0.98526,             0.80758,            0.015011,           0.0035491,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.019787,           0.0057649,                   0,             0.97797,             0.97902,             0.98635,             0.80946,            0.014977,           0.0035498,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.020014,            0.005842,                   0,              0.9765,             0.98115,             0.98527,             0.80808,            0.014846,           0.0035253,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.019878,            0.005797,                   0,             0.97564,             0.98324,             0.98584,             0.81036,             0.01482,           0.0035014,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.019914,           0.0057556,                   0,              0.9763,             0.98489,              0.9866,             0.81343,            0.014705,           0.0034796,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019784,           0.0057552,                   0,             0.97917,             0.98238,             0.98569,             0.81069,            0.014673,           0.0034706,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.019736,           0.0057234,                   0,             0.97698,             0.98312,             0.98455,             0.81259,            0.014575,           0.0034647,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019538,           0.0057478,                   0,             0.97652,             0.98409,             0.98592,             0.81225,            0.014677,           0.0034762,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.019996,           0.0056441,                   0,             0.97579,             0.98497,             0.98484,             0.81251,            0.014538,             0.00345,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019572,           0.0056618,                   0,             0.97727,             0.98213,             0.98637,             0.81859,             0.01444,           0.0034386,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.019399,           0.0056093,                   0,             0.97715,             0.98517,             0.98652,             0.81926,             0.01436,           0.0034117,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.019334,           0.0055992,                   0,             0.97926,             0.98317,             0.98656,             0.82051,            0.014255,           0.0033959,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.019569,           0.0056568,                   0,             0.97675,             0.98546,             0.98741,             0.82095,             0.01428,           0.0033949,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019573,           0.0056161,                   0,             0.97775,             0.98213,             0.98555,             0.81978,            0.014262,            0.003409,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.019253,           0.0055993,                   0,             0.97994,             0.98108,             0.98752,             0.82216,            0.014195,           0.0034024,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.019354,           0.0055755,                   0,             0.97797,             0.98546,             0.98684,             0.82525,            0.014035,           0.0033684,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.01938,           0.0055619,                   0,             0.97758,             0.98743,             0.98718,               0.825,            0.014011,           0.0033542,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.019268,           0.0055934,                   0,             0.97809,             0.98817,             0.98778,              0.8264,            0.013937,           0.0033372,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.01902,           0.0055372,                   0,             0.98039,             0.98564,             0.98833,             0.82869,            0.013861,           0.0033238,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.019036,           0.0055564,                   0,             0.97734,             0.98845,             0.98738,             0.82854,             0.01379,           0.0033134,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018905,           0.0055302,                   0,             0.97584,             0.99025,             0.98647,              0.8273,            0.013767,           0.0033067,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.01902,           0.0055237,                   0,             0.97669,              0.9914,             0.98786,             0.83206,            0.013662,           0.0032792,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.019037,           0.0055525,                   0,             0.97872,             0.99178,              0.9876,             0.83229,            0.013609,           0.0032785,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.01888,           0.0055217,                   0,             0.97774,             0.99055,             0.98686,             0.83067,            0.013559,           0.0032946,                   0,            0.007624,            0.007624,            0.007624
